id,barcode,name,brand,generic_name,quantity,category,macro_category,food_type,kcal,protein,carbs,fat,fiber_100g,sugars_100g,saturated_fat_100g,salt_100g,sodium_100g,cholesterol_mg_100g,serving_size,serving_quantity,ingredients,allergens,labels,source,source_url,countries_tags,image_url,verified,usable_for_meal_generator,data_quality_score,nutrients,created_at,updated_at
crea_000076,,"Polenta, cotta",,,,cereali,carb_source,generic_food,73,0.9,17.8,0.04,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000080,,Miglio,,,,cereali,carb_source,generic_food,343,11.8,64.9,3.9,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000081,,"Miglio, decorticato",,,,cereali,carb_source,generic_food,342,11,67.8,4.2,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000090,,Orzo perlato,,,,cereali,carb_source,generic_food,346,9.4,73.7,1.5,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000095,,"Orzo perlato, cotto, bollito",,,,cereali,carb_source,generic_food,118,2.6,26.4,0.6,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000096,,"Quinoa, cruda",,,,cereali,carb_source,generic_food,376,15.4,57.8,8.1,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000097,,"Quinoa, cotta, bollita",,,,cereali,carb_source,generic_food,140,4.8,24.3,2.5,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000100,,"Riso, brillato",,,,cereali,carb_source,generic_food,334,6.7,80.4,0.4,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000105,,"Riso, brillato, cotto, bollito",,,,cereali,carb_source,generic_food,100,2,24.2,0.1,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000110,,"Riso, integrale",,,,cereali,carb_source,generic_food,341,7.5,77.4,1.9,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000115,,"Riso, integrale, cotto, bollito",,,,cereali,carb_source,generic_food,113,2.5,25.5,0.6,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000120,,"Riso, parboiled",,,,cereali,carb_source,generic_food,338,7.4,81.3,0.3,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000125,,"Riso, parboiled, cotto, bollito",,,,cereali,carb_source,generic_food,97,2.1,23.3,0.1,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000130,,"Riso Basmati, crudo",,,,cereali,carb_source,generic_food,367,9,82.9,1.9,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000135,,"Riso Basmati, cotto, bollito",,,,cereali,carb_source,generic_food,113,3,25.2,0.6,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000140,,"Riso Venere, crudo",,,,cereali,carb_source,generic_food,355,7.8,80.4,1.3,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000145,,"Riso Venere, cotto, bollito",,,,cereali,carb_source,generic_food,160,3.5,36.9,0.3,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000150,,Crusca di frumento,,,,cereali,carb_source,generic_food,290,14.1,26.6,5.5,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000200,,Farina d'avena,,,,cereali,carb_source,generic_food,378,12.6,66.3,7.1,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000210,,Farina d'orzo,,,,cereali,carb_source,generic_food,333,10.6,68.4,1.9,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000220,,"Farina di frumento, tipo 00",,,,cereali,carb_source,generic_food,323,11,71.6,0.7,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000230,,"Farina di frumento, tipo 0",,,,cereali,carb_source,generic_food,321,11.5,69.5,1,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000240,,"Farina di frumento, integrale",,,,cereali,carb_source,generic_food,313,11.9,61.8,1.9,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000250,,"Farina di frumento, duro",,,,cereali,carb_source,generic_food,330,12.9,63.2,2.8,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000260,,Farina di mais,,,,cereali,carb_source,generic_food,341,8.7,73.5,2.7,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000270,,Farina di riso,,,,cereali,carb_source,generic_food,332,7.3,79.1,0.5,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000280,,Farina di segale,,,,cereali,carb_source,generic_food,342,11.7,67.8,2,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000290,,Farina di soia,,,,legumi,mixed_source,generic_food,469,36.8,23.4,23.5,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000300,,"Mais, amido",,,,cereali,carb_source,generic_food,328,0.3,87,,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000310,,Semola,,,,cereali,carb_source,generic_food,346,11.5,76.9,0.5,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000320,,Farina di manioca,,,,cereali,carb_source,generic_food,332,0.6,87.2,0.2,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000330,,Germe di frumento,,,,cereali,mixed_source,generic_food,378,26,43.5,10,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000500,,Pane al malto,,,,cereali,carb_source,generic_food,278,8.3,56.6,2.4,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000510,,Pane di segale,,,,cereali,carb_source,generic_food,228,8.3,45.4,1.7,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000530,,Pane bianco,,,,cereali,carb_source,generic_food,268,8.1,59.5,0.5,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000540,,Pane di tipo semintegrale,,,,cereali,carb_source,generic_food,239,8.3,52,0.3,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000550,,Pane di tipo integrale,,,,cereali,carb_source,generic_food,224,8.5,44.1,1.3,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000560,,Pane formato rosetta,,,,cereali,carb_source,generic_food,275,9,57.6,1.9,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000570,,Pangrattato,,,,cereali,carb_source,generic_food,357,10.1,77.8,2.1,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000580,,Panini al latte,,,,cereali,carb_source,generic_food,298,9,48.1,8.7,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000590,,Panini all'olio,,,,cereali,carb_source,generic_food,288,7.7,52.6,5.8,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000600,,Pane azzimo,,,,cereali,carb_source,generic_food,365,10.7,81.7,1,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000700,,Pizza bianca,,,,cereali,carb_source,generic_food,306,7.9,57.9,5.9,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000710,,Pizza con pomodoro,,,,cereali,carb_source,generic_food,248,7.6,40.7,6.6,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000720,,Pizza con pomodoro e mozzarella,,,,cereali,carb_source,generic_food,255,12.1,35.5,7.6,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000800,,Pasta di semola,,,,cereali,carb_source,generic_food,341,13.5,72.7,1.2,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000805,,"Pasta di semola, cotta, bollita",,,,cereali,carb_source,generic_food,175,6.9,37.3,0.6,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000850,,"Pasta di semola, integrale",,,,cereali,carb_source,generic_food,330,13.3,64.8,2.2,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000855,,"Pasta di semola, integrale, cotta, bollita",,,,cereali,carb_source,generic_food,182,7.4,36,1.2,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000870,,"Pasta all'uovo, secca",,,,cereali,carb_source,generic_food,346,13,71,2.4,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000871,,"Pasta all'uovo, secca, cotta, bollita",,,,cereali,carb_source,generic_food,123,4.6,25.5,0.8,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000875,,"Ravioli, crudi, freschi",,,,cereali,carb_source,generic_food,265,10.6,40.7,7.3,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000876,,"Ravioli, cotti",,,,cereali,carb_source,generic_food,177,7.2,27.5,4.6,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000880,,"Tortellini, freschi",,,,cereali,carb_source,generic_food,302,12.2,49.9,7.1,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000885,,"Tortellini, freschi, cotti",,,,cereali,carb_source,generic_food,158,6.4,26,3.7,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000890,,"Tortellini, secchi",,,,cereali,carb_source,generic_food,379,15.7,57.6,10.8,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000900,,"Biscotti, frollini",,,,cereali,carb_source,generic_food,426,7.2,71.7,13.8,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000910,,"Biscotti, integrali",,,,cereali,carb_source,generic_food,419,7.8,70.8,12.3,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000950,,"Biscotti, secchi",,,,cereali,carb_source,generic_food,404,6.6,80.4,7.9,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000960,,"Biscotti, alla soia",,,,cereali,carb_source,generic_food,375,11.5,70.8,6.1,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000970,,"Biscotti, integrali, con soia",,,,cereali,carb_source,generic_food,464,11.5,60.4,20.4,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000990,,"Biscotti, wafers",,,,cereali,carb_source,generic_food,452,7.1,76.2,15,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_001000,,"Crackers, al formaggio",,,,cereali,mixed_source,generic_food,498,10.1,59.2,25.5,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_001010,,"Crackers, alla soia",,,,cereali,carb_source,generic_food,421,13.1,67.7,11.7,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_001020,,"Crackers, salati",,,,cereali,carb_source,generic_food,386,9.4,67.5,10,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_001030,,"Crackers, integrali",,,,cereali,carb_source,generic_food,402,12,61.7,11.4,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_001500,,Fette biscottate,,,,cereali,carb_source,generic_food,387,11.3,75,6,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_001510,,"Fette biscottate, integrali",,,,cereali,carb_source,generic_food,394,14.2,63,10,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_002000,,Grissini,,,,cereali,carb_source,generic_food,421,11.3,65.1,13.9,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_002500,,Cornetti,,,,cereali,carb_source,generic_food,403,7.2,54.7,18.3,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_002510,,Croissants,,,,cereali,mixed_source,generic_food,362,8.3,38,20.3,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_003000,,Bastoncini di crusca di frumento,,,,cereali,carb_source,generic_food,301,14,38.4,3.2,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_003020,,Corn flakes,,,,cereali,carb_source,generic_food,367,6.6,87.4,0.8,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_003030,,Fiocchi d'avena,,,,cereali,carb_source,generic_food,367,8,66.8,7.5,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_003040,,Muesli,,,,cereali,carb_source,generic_food,374,9.7,71.7,6,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_003050,,"Riso, soffiato, da prima colazione",,,,cereali,carb_source,generic_food,354,6,85.1,1,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_004000,,"Ceci, secchi",,,,legumi,carb_source,generic_food,343,20.9,46.9,6.3,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_004005,,"Ceci, secchi, cotti, bolliti",,,,legumi,carb_source,generic_food,132,7,18.9,2.4,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_004010,,"Ceci, in scatola, scolati",,,,legumi,carb_source,generic_food,111,6.7,13.9,2.3,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_004100,,Fagioli,,,,legumi,carb_source,generic_food,326,23.6,47.5,2,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_004105,,"Fagioli, cotti, bolliti",,,,legumi,carb_source,generic_food,117,7.9,17,0.7,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_004110,,"Fagioli, Borlotti, freschi",,,,legumi,carb_source,generic_food,143,10.2,22.7,0.8,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_004115,,"Fagioli, Borlotti, freschi, cotti, bolliti",,,,legumi,carb_source,generic_food,78,5.7,11.2,0.5,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_004120,,"Fagioli, Borlotti, secchi",,,,legumi,carb_source,generic_food,312,20.2,47.7,2,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_004125,,"Fagioli, Borlotti, secchi, cotti, bolliti",,,,legumi,carb_source,generic_food,106,6.9,16.4,0.4,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_004130,,"Fagioli, Borlotti, in scatola, scolati",,,,legumi,carb_source,generic_food,102,6.7,15.9,0.5,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_004200,,"Fagioli, Cannellini, secchi",,,,legumi,carb_source,generic_food,314,23.4,45.5,1.6,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_004205,,"Fagioli, Cannellini, secchi, cotti, bolliti",,,,legumi,carb_source,generic_food,107,8,14.9,0.4,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_004210,,"Fagioli, Cannellini in scatola, scolati",,,,legumi,carb_source,generic_food,86,6,12.5,0.6,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_004220,,"Fagioli dall'occhio, secchi",,,,legumi,carb_source,generic_food,318,22.4,50.9,1.4,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_004305,,"Fagiolini a corallo, cotti, bolliti",,,,legumi,carb_source,generic_food,31,1.7,4.6,0.1,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_004310,,"Fagiolini, freschi",,,,legumi,carb_source,generic_food,24,2.1,2.4,0.1,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_004325,,"Fagiolini, surgelati, cotti, bolliti",,,,legumi,carb_source,generic_food,31,1.7,4.6,0.1,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_004400,,"Fave, fresche",,,,legumi,mixed_source,generic_food,51,5.2,4.5,0.4,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_004406,,"Fave, fresche, cotte, in padella",,,,legumi,mixed_source,generic_food,61,6.1,5.3,0.5,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_004410,,"Fave, secche",,,,legumi,carb_source,generic_food,331,21.3,52.8,2.1,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_004420,,"Fave, secche, sgusciate, crude",,,,legumi,carb_source,generic_food,343,25.2,53.6,3,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_004425,,"Fave, secche, sgusciate, cotte, bollite",,,,legumi,carb_source,generic_food,146,11,22.4,1.3,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_004500,,"Lenticchie, secche",,,,legumi,carb_source,generic_food,319,22.7,51.1,1,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_004505,,"Lenticchie, secche, cotte, bollite",,,,legumi,carb_source,generic_food,109,6.9,16.3,0.4,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_004510,,"Lenticchie, in scatola, scolate",,,,legumi,carb_source,generic_food,91,5,15.4,0.5,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_004600,,"Lupini, ammollati",,,,legumi,protein_source,generic_food,119,16.4,7.1,2.4,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_004700,,"Piselli, freschi",,,,legumi,mixed_source,generic_food,64,5.5,6.5,0.6,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_004706,,"Piselli, freschi, cotti, in padella",,,,legumi,mixed_source,generic_food,104,9.7,11.5,1,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_004710,,"Piselli, secchi",,,,legumi,carb_source,generic_food,317,21.7,48.2,2,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_004720,,"Piselli, in scatola, scolati",,,,legumi,carb_source,generic_food,78,5.3,11.1,0.6,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_004730,,"Piselli, surgelati",,,,legumi,carb_source,generic_food,61,5.4,6.5,0.3,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_004900,,"Soia, secca",,,,legumi,mixed_source,generic_food,430,36.9,23.2,19.1,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_004910,,"Soia, isolato proteico",,,,legumi,protein_source,generic_food,369,86.5,4.5,0.7,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
